repo_name,last_pushed_at,created_at,default_branch,cfn_file_count,total_resources,resource_types,platform_pct,application_pct,data_pct,other_pct,nested_stacks,cross_stack_refs,custom_resources,sam_transforms,parameters,conditions,has_terraform,cfn_lines,aws_account_ids,app_ids
agentcore_strands,03/26/2026 16:45,01/08/2026 01:15,master,2,21,AWS::DynamoDB::Table|AWS::Logs::LogGroup|AWS::S3::Bucket|AWS::Serverless::Function,52,0,47,1,0,0,0,true,2,0,false,425,none,none
aws-oih-fis,03/26/2026 16:39,01/06/2026 23:58,main,2,27,AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::FIS::ExperimentTemplate|AWS::IAM::InstanceProfile|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,61,38,0,1,0,0,0,false,2,0,false,1113,none,none
Meteorology-Model-Integration,03/26/2026 16:17,06/14/2021 19:59,main,14,441,AWS::EFS::AccessPoint|AWS::EFS::FileSystem|AWS::EFS::MountTarget|AWS::Events::Rule|AWS::Glue::Connection|AWS::Glue::Crawler|AWS::Glue::Database|AWS::Glue::Job|AWS::Glue::Trigger|AWS::IAM::Role|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::Serverless::Function|AWS::SSM::Parameter|AWS::StepFunctions::Activity|AWS::StepFunctions::StateMachine,33,1,64,2,0,0,0,true,14,6,false,12488,336392948345|967517989313,none
eweb-auth-lambda,03/26/2026 16:14,03/16/2020 14:13,dev,1,94,AWS::CloudWatch::Alarm|AWS::CloudWatch::AnomalyDetector|AWS::IAM::Role|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,100,0,0,0,0,0,0,true,1,3,false,2881,none,none
meteorology-alpha,03/26/2026 15:29,02/03/2025 15:27,main,8,140,AWS::Events::Rule|AWS::Lambda::Permission|AWS::Serverless::Function|AWS::SSM::Parameter,71,28,0,1,0,0,0,true,8,3,false,2034,336392948345,none
meteorology-operations,03/26/2026 15:16,09/03/2020 19:08,master,28,947,AWS::ApplicationAutoScaling::ScalableTarget|AWS::ApplicationAutoScaling::ScalingPolicy|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::DynamoDB::Table|AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::Glue::Crawler|AWS::Glue::Database|AWS::Glue::Job|AWS::Glue::Table|AWS::Glue::Trigger|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::EventInvokeConfig|AWS::Lambda::EventSourceMapping|AWS::Lambda::Permission|AWS::Lambda::Version|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBParameterGroup|AWS::RDS::DBSubnetGroup|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SNS::Subscription|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SQS::Queue|AWS::SQS::QueuePolicy|AWS::SSM::Parameter,50,44,5,1,0,1,0,true,28,28,false,28575,034420808610|075683794790|104891172899|123901341784|336392948345|850755775074|865440211801|868907362424|900405192347|967517989313,none
gis-geomartcloud-wsoc-hawc-wiv-ui,03/26/2026 15:12,01/11/2022 23:42,main_bkup,3,2,AWS::CloudFormation::Interface|AWS::CloudFront::Distribution|AWS::IAM::Role|AWS::Lambda::Function|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SSM::Parameter|AWS::WAF::IPSet|AWS::WAF::Rule|AWS::WAF::WebACL|AWS::WAFRegional::IPSet|AWS::WAFRegional::Rule|AWS::WAFRegional::WebACL,50,50,0,0,0,2,2,false,3,4,false,788,514712703977,none
app-migration-plato-jobs,03/26/2026 09:30,04/21/2025 19:41,dev,1,4,AWS::Serverless::Function|AWS::Serverless::LayerVersion,0,0,0,0,0,0,0,true,0,0,true,90,none,none
eweb-backup-get-apis,03/26/2026 09:27,07/25/2025 18:27,dev,15,215,AWS::CloudWatch::Alarm|AWS::CloudWatch::AnomalyDetector|AWS::IAM::Role|AWS::OpenSearchServerless::AccessPolicy|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,100,0,0,0,0,0,0,true,15,3,false,5452,none,none
pge-ecm-pwtodctm-emailnotification,03/26/2026 04:30,03/04/2022 14:13,main,1,8,AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::SSM::Parameter,82,17,0,1,0,0,0,false,1,0,false,271,none,none
ew-post-apis,03/26/2026 00:34,06/11/2021 07:25,dev,1,77,AWS::ApiGateway::UsagePlan|AWS::CloudWatch::Alarm|AWS::IAM::Role|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,86,13,0,1,0,0,0,true,1,1,false,2346,none,none
aws-transit-pan,03/25/2026 16:37,03/31/2022 20:42,main,1,24,AWS::AutoScaling::AutoScalingGroup|AWS::AutoScaling::LifecycleHook|AWS::EC2::LaunchTemplate|AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy,29,70,0,1,0,48,1,false,1,0,false,1877,100538557244|223104556128|242937548904,APP-2102
pge-ecm-crm-efscsi-05,03/25/2026 15:44,04/29/2021 03:03,main,1,6,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::EFS::FileSystem|AWS::EFS::MountTarget,0,0,0,0,0,0,0,false,1,0,false,68,none,none
gis-geomartcloud-pspsv4-batch-event-reports,03/25/2026 09:58,08/17/2021 23:25,master,2,44,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::ECS::TaskDefinition|AWS::IAM::Role|AWS::Lambda::EventSourceMapping|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::SecretsManager::Secret|AWS::SSM::Parameter,41,58,0,1,0,0,0,false,2,0,false,2622,none,APP-2324
psps-viz-project-infra,03/25/2026 09:32,05/03/2021 20:08,dev,21,307,AWS::Amplify::App|AWS::Amplify::Branch|AWS::ApiGateway::Account|AWS::ApiGatewayV2::ApiMapping|AWS::ApiGatewayV2::DomainName|AWS::CloudFormation::Interface|AWS::CloudFront::Distribution|AWS::CodeBuild::Project|AWS::CodeBuild::SourceCredential|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::Elasticsearch::Domain|AWS::IAM::ManagedPolicy|AWS::IAM::Policy|AWS::IAM::Role|AWS::IAM::ServiceLinkedRole|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::Logs::ResourcePolicy|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,88,11,0,1,0,0,7,false,20,6,false,5741,260188172524|435785788682|471986645812|514712703977|686137062481|725887861453|740871259156|972333128287,none
aws-dash-windev,03/24/2026 21:30,03/21/2024 22:18,main,1,0,AWS::SSM::Document,100,0,0,0,0,0,0,false,0,0,true,262,686137062481,APP-3216
pge-ecm-crmbus-agentservice,03/24/2026 20:29,02/06/2023 17:27,main,4,28,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::CodeStarNotifications::NotificationRule|AWS::EC2::SecurityGroup|AWS::ECR::Repository|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,4,16,false,4074,none,none
